"Country","Sex","Year","Age-standardised mean systolic blood pressure (mmHg)","Age-standardised mean systolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean systolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure (mmHg)","Age-standardised mean diastolic blood pressure lower 95% uncertainty interval (mmHg)","Age-standardised mean diastolic blood pressure upper 95% uncertainty interval (mmHg)","Age-standardised prevalence of raised blood pressure","Age-standardised prevalence of raised blood pressure lower 95% uncertainty interval","Age-standardised prevalence of raised blood pressure upper 95% uncertainty interval","Crude prevalence of raised blood pressure","Crude prevalence of raised blood pressure lower 95% uncertainty interval","Crude prevalence of raised blood pressure upper 95% uncertainty interval","Number of adults with raised blood pressure","Number of adults with raised blood pressure lower 95% uncertainty interval","Number of adults with raised blood pressure upper 95% uncertainty interval"
"United States of America","Men",1975,130.747823380693,127.283937826279,134.159479724862,81.034313432918,78.6530040808143,83.3992242307529,0.304457905345943,0.223371992302674,0.396952015389474,0.305872901944526,0.224956629791975,0.397514140727211,22363465.4554856,16255389.1731016,29355868.6779877
"United States of America","Men",1976,130.277675606159,127.224534600558,133.290781957823,80.6138842359532,78.4788480457736,82.7081487133364,0.297351835642592,0.221801500726167,0.381790062417399,0.297967510701638,0.223160080932651,0.380814449804868,22137730.8271961,16411786.975321,28568021.1164018
"United States of America","Men",1977,129.805036158951,127.046662348911,132.503516013095,80.1930767727383,78.2985770038292,82.0859423604805,0.290244719264882,0.220613388747419,0.366095588242166,0.290363690627777,0.221811968303751,0.364878091945134,21897344.7964311,16488110.2340856,27849618.4561693
"United States of America","Men",1978,129.335306947987,126.802576019707,131.791650727025,79.7783990699621,78.0248874039687,81.4798981243312,0.283243516773091,0.218716530739097,0.352116966673913,0.283093163703118,0.219952996425192,0.350524418196652,21656571.3671726,16561677.4839436,27192154.2815801
"United States of America","Men",1979,128.865084253278,126.579085548317,131.154114277873,79.3685532471252,77.7817936262247,80.9365377623754,0.276323471701879,0.216485189256052,0.339088562790789,0.276029902004216,0.217517557233523,0.337111970279312,21421455.2874003,16610883.2049924,26604900.2958641
"United States of America","Men",1980,128.402401811932,126.262568232984,130.592190696708,78.9675714226657,77.5073490505355,80.4348307717007,0.26962170193146,0.213764206696642,0.327854486931388,0.269240167472937,0.214753131812095,0.325917686634721,21206839.3727314,16608413.5497883,26093442.8135622
"United States of America","Men",1981,127.944533644942,125.931861406859,129.997911954743,78.5787507987207,77.2064975282192,79.9463634653796,0.263134592039581,0.211214871814053,0.318543778768725,0.262695215956551,0.211762938983653,0.316679135491775,21013312.7564726,16606122.9938983,25690755.5821822
"United States of America","Men",1982,127.484950515154,125.558410499563,129.402419881176,78.197253034305,76.9079099914923,79.4844282423036,0.256699673443996,0.207440910422629,0.309141981686858,0.256258391726977,0.208461978762855,0.307527668108734,20824557.4469988,16573702.6115401,25353052.1690047
"United States of America","Men",1983,127.032055526233,125.198413400102,128.852140378215,77.8287815317383,76.5975694683258,79.0923548766885,0.250487230672506,0.203738534671924,0.300443926520533,0.250131048911823,0.204232037574657,0.298978349636626,20648725.2009662,16537809.082149,25033965.2353256
"United States of America","Men",1984,126.580241725647,124.78944451734,128.336374135708,77.4700977501943,76.2853879610395,78.6898417705229,0.244419061896248,0.199853989421389,0.292045954529515,0.244284866207319,0.200922952752683,0.290867408591185,20473164.4789082,16470302.3873345,24723965.0727598
"United States of America","Men",1985,126.137021388173,124.357624033548,127.842831987072,77.1265696615097,75.9694775028395,78.3071832076747,0.238605848119082,0.195813505579675,0.284392257599816,0.238852197463167,0.197245591689405,0.28352852968464,20303001.3831936,16357039.735678,24447596.6693767
"United States of America","Men",1986,125.704223150881,123.984308886346,127.387895908453,76.7981200585394,75.6526829609527,77.9238671184112,0.232990086684447,0.191621568830832,0.27694752010711,0.233771110366226,0.193243820352396,0.276917459444791,20133970.5724552,16240663.820179,24200969.3487242
"United States of America","Men",1987,125.284174646834,123.598114305203,126.902706871202,76.480574386233,75.3571896307877,77.5794616795843,0.227468908018273,0.18806883648783,0.270006780113842,0.228905097946975,0.190040844042883,0.270706427818086,19959447.5882714,16105831.8427463,23986467.4829475
"United States of America","Men",1988,124.876589124138,123.219812859405,126.489501990649,76.1761474103137,75.069816295001,77.2513005788117,0.22210984901311,0.183406289749459,0.263352503457948,0.224279739170034,0.18595988790288,0.264929895781045,19785743.7295903,15951614.4654948,23767496.6684542
"United States of America","Men",1989,124.489658249034,122.854148434944,126.081254238432,75.8875831342734,74.7966050267881,76.9471944847222,0.216903000986147,0.178660134805165,0.256963687627643,0.219836514875173,0.181845014461865,0.259966966932131,19613076.085819,15777427.1793358,23577779.1345318
"United States of America","Men",1990,124.114775201203,122.540511168055,125.701658135968,75.6086775998581,74.5527698646347,76.668996740993,0.211804602261853,0.174309127620766,0.251311773874511,0.215497653098059,0.178022437526146,0.254631310380188,19438950.2818794,15595843.6074561,23397366.2963512
"United States of America","Men",1991,123.759838723488,122.177810904121,125.30987698117,75.3448756473689,74.2912288559373,76.407648951375,0.20692894886455,0.169870719590084,0.245602238467141,0.211371124223606,0.174079631728277,0.250219760678658,19272800.0833072,15411652.3931673,23214215.0895282
