"Country","Sex","Year","Age-standardised diabetes prevalence","Age-standardised_Lower 95% uncertainty interval","Age-standardised_Upper 95% uncertainty interval","Crude diabetes prevalence","Crude_Lower 95% uncertainty interval","Crude_Upper 95% uncertainty interval","Number of adults with diabetes","Number_Lower 95% uncertainty interval","Number_Upper 95% uncertainty interval"
"United States of America","Men",1980,0.0465967494044016,0.0218426622271797,0.0852450552063139,0.0475096111159573,0.0227686657751792,0.0858490415899485,3742118.79695966,1613393.2415707,6891617.56110071
"United States of America","Men",1981,0.0472437540901363,0.0233671345294677,0.0832467582709224,0.0481065678101092,0.0242178083379141,0.0838064990091984,3848103.40513197,1773897.89594165,6829230.11962449
"United States of America","Men",1982,0.047963593587543,0.0249623150363571,0.0810251596195435,0.0487643925030583,0.0258197499297776,0.0813880796822454,3962784.9304926,1925336.25616833,6802634.39818919
"United States of America","Men",1983,0.0487934044241516,0.0265513619932808,0.0803358046968973,0.0495355042576156,0.0274992310843059,0.0806469513745045,4089236.5004529,2085175.4328914,6804632.14149004
"United States of America","Men",1984,0.0497255632472446,0.028161695896566,0.0795462181501796,0.0504351577025515,0.0291179824147825,0.0793891765521834,4226898.27329579,2255085.17440053,6863121.67700563
"United States of America","Men",1985,0.0507507295392128,0.0297765730423987,0.0783601074581753,0.0514709122549577,0.0307254294321828,0.0785066654899755,4375149.20861379,2425726.37510807,6915568.1935645
"United States of America","Men",1986,0.0518378259984147,0.0315184826610077,0.0780665102012206,0.0526189187600727,0.032645980499703,0.0782141082006082,4531901.99682935,2603746.42191815,7001194.59607307
"United States of America","Men",1987,0.0529753207102481,0.0332547024767133,0.0780576694571836,0.0538644036182925,0.0344709937028599,0.0782995459528019,4696722.57426896,2782035.95858467,7114093.03045668
"United States of America","Men",1988,0.0541660884989799,0.0348745901828648,0.0782685587688543,0.0552054398097803,0.0361888536778881,0.0789923772620744,4870171.01320748,2957207.8099098,7265001.35070253
"United States of America","Men",1989,0.0554187595484514,0.0363842576040569,0.0795340643083242,0.0566413616320893,0.0378032647879658,0.0801436709629635,5053352.19640537,3129697.50416258,7453424.68944388
"United States of America","Men",1990,0.0566995516443974,0.0379080431734982,0.0804218590199195,0.0581322109315656,0.0393664643961633,0.0816480593660539,5243811.90156269,3306125.64715381,7662375.03568451
"United States of America","Men",1991,0.0580351324686174,0.0394054785617342,0.0819861222784939,0.059706613700487,0.0409024600661108,0.0832988951735261,5444043.66361518,3486851.00709491,7881162.28154183
"United States of America","Men",1992,0.0594063821064947,0.0408652900272208,0.0829642085622794,0.0613512941315604,0.0425812654123454,0.084977697609446,5653249.32993682,3659886.74126882,8134664.33558658
"United States of America","Men",1993,0.0608017291690511,0.0422304837599427,0.084241722030582,0.0630554600418463,0.0441214318050325,0.0866270582131674,5872749.46865517,3841956.13288187,8394735.43982268
"United States of America","Men",1994,0.0622242955427866,0.0432635157621584,0.0853237730505324,0.0648226362692934,0.0455007485645906,0.0882583378742504,6106038.80227246,4039510.73541774,8671170.97171086
"United States of America","Men",1995,0.0636449354949235,0.0447279364412151,0.0867186169942044,0.0666239861396735,0.0472893512882947,0.0899509791459318,6352871.10287286,4256338.18992938,8956489.15149677
"United States of America","Men",1996,0.0650734240439175,0.0464398948064493,0.0879778864528149,0.0684681095154447,0.0492568435666865,0.0920036305899673,6615951.83680854,4482645.02335921,9280551.53830747
"United States of America","Men",1997,0.066445779600694,0.0479557870240241,0.0891601148088393,0.0702909166115331,0.0510408744311582,0.094114852964445,6888787.67386543,4713366.13373933,9615407.87850674
"United States of America","Men",1998,0.0677976622009058,0.0493643061388905,0.0905009738489806,0.0721349132559024,0.0527807349116329,0.0959849774194468,7172935.51924365,4947402.31545163,9953493.73876113
"United States of America","Men",1999,0.0691187841038538,0.0506221244688066,0.0914120862076485,0.073999084573954,0.0545081752586669,0.0975640314517052,7464076.39358827,5194359.5034442,10262131.633437
"United States of America","Men",2000,0.0703645081719728,0.0519909903202465,0.0926257658231487,0.0758432692881591,0.0563641137780722,0.0993927423801369,7754746.28467813,5450668.47422138,10589857.9740592
