Notes,Year,Year Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,1979,1979,Typhoid fever,2,3,224635398,0.0 (Unreliable)
,1979,1979,Paratyphoid fever b,2.2,1,224635398,0.0 (Unreliable)
,1979,1979,"Paratyphoid fever, unspecified",2.9,1,224635398,0.0 (Unreliable)
,1979,1979,Salmonella gastroenteritis,3,23,224635398,0
,1979,1979,Salmonella septicemia,3.1,35,224635398,0
,1979,1979,Localized salmonella infections,3.2,6,224635398,0.0 (Unreliable)
,1979,1979,"Salmonella infection, unspecified",3.9,4,224635398,0.0 (Unreliable)
,1979,1979,Shigella dysenteriae,4,2,224635398,0.0 (Unreliable)
,1979,1979,"Shigellosis, unspecified",4.9,17,224635398,0.0 (Unreliable)
,1979,1979,Staphylococcal food poisoning,5,1,224635398,0.0 (Unreliable)
,1979,1979,Botulism,5.1,2,224635398,0.0 (Unreliable)
,1979,1979,Food poisoning due to clostridium perfringens [c. welchii],5.2,3,224635398,0.0 (Unreliable)
,1979,1979,"Food poisoning, unspecified",5.9,5,224635398,0.0 (Unreliable)
,1979,1979,Amebic liver abscess,6.3,9,224635398,0.0 (Unreliable)
,1979,1979,Amebic infection of other sites,6.8,2,224635398,0.0 (Unreliable)
,1979,1979,"Amebiasis, unspecified",6.9,8,224635398,0.0 (Unreliable)
,1979,1979,Giardiasis,7.1,1,224635398,0.0 (Unreliable)
,1979,1979,Escherichia coli [e. coli],8,2,224635398,0.0 (Unreliable)
,1979,1979,Arizona group of paracolon bacilli,8.1,1,224635398,0.0 (Unreliable)
,1979,1979,Other specified bacteria,8.4,16,224635398,0.0 (Unreliable)
,1979,1979,"Bacterial enteritis, unspecified",8.5,12,224635398,0.0 (Unreliable)
,1979,1979,Enteritis due to specified virus,8.6,1,224635398,0.0 (Unreliable)
,1979,1979,"Other organism, not elsewhere classified",8.8,113,224635398,0.1
,1979,1979,"Infectious colitis, enteritis, and gastroenteritis",9,145,224635398,0.1
,1979,1979,Infectious diarrhea,9.2,7,224635398,0.0 (Unreliable)
,1979,1979,Primary tuberculous infection,10,1,224635398,0.0 (Unreliable)
,1979,1979,Tuberculosis of lung with cavitation,11.2,94,224635398,0
,1979,1979,Tuberculosis of bronchus,11.3,16,224635398,0.0 (Unreliable)
,1979,1979,Tuberculous fibrosis of lung,11.4,68,224635398,0
,1979,1979,Tuberculous bronchiectasis,11.5,5,224635398,0.0 (Unreliable)
,1979,1979,Tuberculous pneumonia [any form],11.6,210,224635398,0.1
,1979,1979,Tuberculous pneumothorax,11.7,8,224635398,0.0 (Unreliable)
,1979,1979,Other specified pulmonary tuberculosis,11.8,5,224635398,0.0 (Unreliable)
,1979,1979,"Pulmonary tuberculosis, unspecified",11.9,1230,224635398,0.5
,1979,1979,Tuberculous pleurisy,12,17,224635398,0.0 (Unreliable)
,1979,1979,Isolated tracheal or bronchial tuberculosis,12.2,1,224635398,0.0 (Unreliable)
,1979,1979,Other specified respiratory tuberculosis,12.8,2,224635398,0.0 (Unreliable)
,1979,1979,Tuberculous meningitis,13,40,224635398,0
,1979,1979,Other specified tuberculosis of central nervous system,13.8,1,224635398,0.0 (Unreliable)
,1979,1979,Unspecified tuberculosis of central nervous system,13.9,1,224635398,0.0 (Unreliable)
,1979,1979,"Tuberculosis of intestines, peritoneum, and mesenteric glands",14,14,224635398,0.0 (Unreliable)
,1979,1979,Vertebral column,15,40,224635398,0
,1979,1979,Knee,15.2,1,224635398,0.0 (Unreliable)
,1979,1979,Other specified bone,15.7,1,224635398,0.0 (Unreliable)
,1979,1979,Kidney,16,16,224635398,0.0 (Unreliable)
,1979,1979,Bladder,16.1,1,224635398,0.0 (Unreliable)
,1979,1979,"Genitourinary tuberculosis, unspecified",16.9,1,224635398,0.0 (Unreliable)
,1979,1979,Skin and subcutaneous cellular tissue,17,17,224635398,0.0 (Unreliable)
,1979,1979,Adrenal glands,17.6,3,224635398,0.0 (Unreliable)
,1979,1979,Esophagus,17.8,11,224635398,0.0 (Unreliable)
,1979,1979,Acute miliary tuberculosis,18,5,224635398,0.0 (Unreliable)
,1979,1979,Other specified miliary tuberculosis,18.8,4,224635398,0.0 (Unreliable)
,1979,1979,"Miliary tuberculosis, unspecified",18.9,194,224635398,0.1
,1979,1979,Septicemic,20.2,1,224635398,0.0 (Unreliable)
,1979,1979,"Plague, unspecified",20.9,1,224635398,0.0 (Unreliable)
,1979,1979,Tularemia,21,2,224635398,0.0 (Unreliable)
,1979,1979,"Brucellosis, unspecified",23.9,2,224635398,0.0 (Unreliable)
,1979,1979,Listeriosis,27,54,224635398,0
,1979,1979,Erysipelothrix infection,27.1,2,224635398,0.0 (Unreliable)
,1979,1979,Pasteurellosis,27.2,2,224635398,0.0 (Unreliable)
,1979,1979,Lepromatous [type l],30,2,224635398,0.0 (Unreliable)
,1979,1979,"Leprosy, unspecified",30.9,1,224635398,0.0 (Unreliable)
,1979,1979,Pulmonary,31,48,224635398,0
,1979,1979,Other specified mycobacterial diseases,31.8,1,224635398,0.0 (Unreliable)
,1979,1979,Unspecified diseases due to mycobacteria,31.9,16,224635398,0.0 (Unreliable)
,1979,1979,Nasopharyngeal diphtheria,32.1,1,224635398,0.0 (Unreliable)
,1979,1979,Bordetella pertussis [b. pertussis],33,2,224635398,0.0 (Unreliable)
,1979,1979,"Whooping cough, unspecified organism",33.9,4,224635398,0.0 (Unreliable)
,1979,1979,Streptococcal sore throat,34,13,224635398,0.0 (Unreliable)
,1979,1979,Scarlet fever,34.1,1,224635398,0.0 (Unreliable)
,1979,1979,Erysipelas,35,11,224635398,0.0 (Unreliable)
,1979,1979,Meningococcal meningitis,36,172,224635398,0.1
,1979,1979,Meningococcemia,36.2,174,224635398,0.1
,1979,1979,"Waterhouse-friderichsen syndrome, meningococcal",36.3,58,224635398,0
,1979,1979,Tetanus,37,30,224635398,0
,1979,1979,Streptococcal septicemia,38,109,224635398,0
,1979,1979,Staphylococcal septicemia,38.1,409,224635398,0.2
,1979,1979,Pneumococcal septicemia [streptococcus pneumoniae septicemia],38.2,89,224635398,0
,1979,1979,Septicemia due to anaerobes,38.3,44,224635398,0
,1979,1979,Septicemia due to other gram-negative organisms,38.4,1391,224635398,0.6
,1979,1979,Other specified septicemias,38.8,158,224635398,0.1
,1979,1979,Unspecified septicemia,38.9,5824,224635398,2.6
,1979,1979,Pulmonary,39.1,19,224635398,0.0 (Unreliable)
,1979,1979,Abdominal,39.2,1,224635398,0.0 (Unreliable)
,1979,1979,Madura foot,39.4,2,224635398,0.0 (Unreliable)
,1979,1979,Of other specified sites,39.8,9,224635398,0.0 (Unreliable)
,1979,1979,Of unspecified site,39.9,16,224635398,0.0 (Unreliable)
,1979,1979,Gas gangrene,40,93,224635398,0
,1979,1979,Whipple's disease,40.2,2,224635398,0.0 (Unreliable)
,1979,1979,Streptococcus,41,13,224635398,0.0 (Unreliable)
,1979,1979,Staphylococcus,41.1,36,224635398,0
,1979,1979,Friedländer's bacillus,41.3,3,224635398,0.0 (Unreliable)
,1979,1979,Escherichia coli [e.coli],41.4,10,224635398,0.0 (Unreliable)
,1979,1979,Hemophilus influenzae [h. influenzae],41.5,21,224635398,0
,1979,1979,Proteus (mirabilis) (morganii),41.6,7,224635398,0.0 (Unreliable)
,1979,1979,Pseudomonas,41.7,22,224635398,0
,1979,1979,Other specified bacterial infections,41.8,33,224635398,0
,1979,1979,"Bacterial infection, unspecified",41.9,31,224635398,0
,1979,1979,Acute poliomyelitis with other paralysis,45.1,1,224635398,0.0 (Unreliable)
,1979,1979,"Acute poliomyelitis, unspecified",45.9,3,224635398,0.0 (Unreliable)
,1979,1979,Creutzfeldt-Jakob disease - CJD,46.1,148,224635398,0.1
,1979,1979,Subacute sclerosing panencephalitis,46.2,30,224635398,0
,1979,1979,Progressive multifocal leukoencephalopathy,46.3,26,224635398,0
,1979,1979,Unspecified viral meningitis,47.9,27,224635398,0
,1979,1979,Other enterovirus diseases of central nervous system,48,41,224635398,0
,1979,1979,Lymphocytic choriomeningitis,49,7,224635398,0.0 (Unreliable)
,1979,1979,Other specified non-arthropod-borne viral diseases of central nervous system,49.8,6,224635398,0.0 (Unreliable)
,1979,1979,Unspecified non-arthropod-borne viral diseases of central nervous system,49.9,158,224635398,0.1
,1979,1979,Chickenpox,52,103,224635398,0
,1979,1979,With meningitis,53,1,224635398,0.0 (Unreliable)
,1979,1979,With other nervous system complications,53.1,15,224635398,0.0 (Unreliable)
,1979,1979,With ophthalmic complications,53.2,7,224635398,0.0 (Unreliable)
,1979,1979,With other specified complications,53.7,4,224635398,0.0 (Unreliable)
,1979,1979,Herpes zoster without mention of complication,53.9,119,224635398,0.1
,1979,1979,Eczema herpeticum,54,2,224635398,0.0 (Unreliable)
,1979,1979,Herpetic gingivostomatitis,54.2,2,224635398,0.0 (Unreliable)
,1979,1979,Herpetic meningoencephalitis,54.3,161,224635398,0.1
,1979,1979,Herpetic septicemia,54.5,1,224635398,0.0 (Unreliable)
,1979,1979,With other specified complications,54.7,4,224635398,0.0 (Unreliable)
,1979,1979,Herpes simplex without mention of complication,54.9,48,224635398,0
,1979,1979,Postmeasles encephalitis,55,1,224635398,0.0 (Unreliable)
,1979,1979,Postmeasles pneumonia,55.1,2,224635398,0.0 (Unreliable)
,1979,1979,Measles without mention of complication,55.9,3,224635398,0.0 (Unreliable)
,1979,1979,With other specified complications,56.7,1,224635398,0.0 (Unreliable)
,1979,1979,Other specified viral exanthemata,57.8,1,224635398,0.0 (Unreliable)
,1979,1979,Viral encephalitis transmitted by other and unspecified arthropods,64,1,224635398,0.0 (Unreliable)
,1979,1979,Tick-borne fever,66.1,1,224635398,0.0 (Unreliable)
,1979,1979,Viral hepatitis a with hepatic coma,70,17,224635398,0.0 (Unreliable)
,1979,1979,Viral hepatitis a without mention of hepatic coma,70.1,112,224635398,0
,1979,1979,Viral hepatitis b with hepatic coma,70.2,30,224635398,0
,1979,1979,Viral hepatitis b without mention of hepatic coma,70.3,230,224635398,0.1
,1979,1979,Other specified viral hepatitis without mention of hepatic coma,70.5,1,224635398,0.0 (Unreliable)
,1979,1979,Unspecified viral hepatitis with hepatic coma,70.6,39,224635398,0
,1979,1979,Unspecified viral hepatitis without mention of hepatic coma,70.9,324,224635398,0.1
,1979,1979,Rabies,71,4,224635398,0.0 (Unreliable)
,1979,1979,Mumps encephalitis,72.2,1,224635398,0.0 (Unreliable)
,1979,1979,Mumps without mention of complication,72.9,1,224635398,0.0 (Unreliable)
,1979,1979,Coxsackie carditis,74.2,16,224635398,0.0 (Unreliable)
,1979,1979,Infectious mononucleosis,75,13,224635398,0.0 (Unreliable)
